Success,Failed,Reason,Company,Job URL,Timestamp
SUCCESS,,Applied,TALD,https://app.joinhandshake.com/jobs/11083534,2026-06-05 19:18:58
,FAILED,Submission failed (no confirmation),Uneo_Health,https://app.joinhandshake.com/jobs/11088295,2026-06-05 19:19:19
SUCCESS,,Applied,The_Brite_Group_Inc.,https://app.joinhandshake.com/jobs/11088128,2026-06-05 19:19:35
SUCCESS,,Applied,Tata_Consultancy_Services,https://app.joinhandshake.com/jobs/11100206,2026-06-05 19:20:01
SUCCESS,,Applied,Concord_Fragrances_LLC,https://app.joinhandshake.com/jobs/11057236,2026-06-05 19:20:18
SUCCESS,,Applied,Goalbound,https://app.joinhandshake.com/jobs/11089836,2026-06-05 19:20:51
SUCCESS,,Applied,Tata_Consultancy_Services,https://app.joinhandshake.com/jobs/11100264,2026-06-05 19:21:09
SUCCESS,,Applied,Integrity_Communications_Solutions,https://app.joinhandshake.com/jobs/11099020,2026-06-05 19:21:26
,FAILED,External Application,InVita_Healthcare_Technologies,https://app.joinhandshake.com/jobs/11072054,2026-06-05 19:21:37
SUCCESS,,Applied,The_Brite_Group_Inc.,https://app.joinhandshake.com/jobs/11088269,2026-06-05 19:21:54
SUCCESS,,Applied,Maryland_Department_of_Human_Services-_MD_Think,https://app.joinhandshake.com/jobs/11084985,2026-06-05 19:22:13
SUCCESS,,Applied,Maryland_Department_of_Human_Services-_MD_Think,https://app.joinhandshake.com/jobs/11068257,2026-06-05 19:22:30
SUCCESS,,Applied,Tata_Consultancy_Services,https://app.joinhandshake.com/jobs/11100232,2026-06-05 19:22:48
,FAILED,External Application,Dev_Technology_Group,https://app.joinhandshake.com/jobs/11075976,2026-06-05 19:22:59
SUCCESS,,Applied,Steelcut_Software_Inc.,https://app.joinhandshake.com/jobs/10870720,2026-06-05 19:23:35
SUCCESS,,Applied,accelHRate,https://app.joinhandshake.com/jobs/11057777,2026-06-05 19:23:51
SUCCESS,,Applied,Tata_Consultancy_Services,https://app.joinhandshake.com/jobs/11071248,2026-06-05 19:24:09
,FAILED,Already Applied,TALD,https://app.joinhandshake.com/jobs/11083534,2026-06-05 19:24:20
SUCCESS,,Applied,ClubZ!_Tutoring_Services,https://app.joinhandshake.com/jobs/11085694,2026-06-05 19:24:26
,FAILED,Submission failed (no confirmation),Uneo_Health,https://app.joinhandshake.com/jobs/11088295,2026-06-05 19:24:42
,FAILED,Submission failed (no confirmation),Rubbl,https://app.joinhandshake.com/jobs/11054694,2026-06-05 19:24:47
,FAILED,Already Applied,The_Brite_Group_Inc.,https://app.joinhandshake.com/jobs/11088128,2026-06-05 19:25:01
SUCCESS,,Applied,Black_Gold_Farms,https://app.joinhandshake.com/jobs/11053586,2026-06-05 19:25:08
,FAILED,Already Applied,Tata_Consultancy_Services,https://app.joinhandshake.com/jobs/11100206,2026-06-05 19:25:13
,FAILED,External Application,AMEWAS,https://app.joinhandshake.com/jobs/11098424,2026-06-05 19:25:20
,FAILED,Already Applied,Concord_Fragrances_LLC,https://app.joinhandshake.com/jobs/11057236,2026-06-05 19:25:25
,FAILED,Already Applied,Goalbound,https://app.joinhandshake.com/jobs/11089836,2026-06-05 19:25:38
SUCCESS,,Applied,Fairfax_County_Public_Schools_Department_of_IT,https://app.joinhandshake.com/jobs/11068839,2026-06-05 19:25:40
,FAILED,Already Applied,Tata_Consultancy_Services,https://app.joinhandshake.com/jobs/11100264,2026-06-05 19:25:49
SUCCESS,,Applied,BetterBasket,https://app.joinhandshake.com/jobs/11035324,2026-06-05 19:25:57
,FAILED,Already Applied,Integrity_Communications_Solutions,https://app.joinhandshake.com/jobs/11099020,2026-06-05 19:26:01
,FAILED,External Application,InVita_Healthcare_Technologies,https://app.joinhandshake.com/jobs/11072054,2026-06-05 19:26:12
SUCCESS,,Applied,8020ai,https://app.joinhandshake.com/jobs/11045126,2026-06-05 19:26:15
,FAILED,Already Applied,The_Brite_Group_Inc.,https://app.joinhandshake.com/jobs/11088269,2026-06-05 19:26:24
SUCCESS,,Applied,AMEWAS,https://app.joinhandshake.com/jobs/11090654,2026-06-05 19:26:33
,FAILED,Already Applied,Maryland_Department_of_Human_Services-_MD_Think,https://app.joinhandshake.com/jobs/11084985,2026-06-05 19:26:35
,FAILED,Already Applied,Maryland_Department_of_Human_Services-_MD_Think,https://app.joinhandshake.com/jobs/11068257,2026-06-05 19:26:46
,FAILED,Submission failed (no confirmation),DivIHN_Integration_Inc.,https://app.joinhandshake.com/jobs/11054195,2026-06-05 19:26:54
,FAILED,Already Applied,Tata_Consultancy_Services,https://app.joinhandshake.com/jobs/11100232,2026-06-05 19:26:57
,FAILED,External Application,Dev_Technology_Group,https://app.joinhandshake.com/jobs/11075976,2026-06-05 19:27:09
SUCCESS,,Applied,CEO_Foundry_LLC,https://app.joinhandshake.com/jobs/11077105,2026-06-05 19:27:10
,FAILED,Already Applied,Steelcut_Software_Inc.,https://app.joinhandshake.com/jobs/10870720,2026-06-05 19:27:20
,FAILED,External Application,LMI,https://app.joinhandshake.com/jobs/11024800,2026-06-05 19:27:22
,FAILED,Already Applied,accelHRate,https://app.joinhandshake.com/jobs/11057777,2026-06-05 19:27:32
